Entity,Code,Year,High Systolic Blood Pressure,High sodium diet,Low whole grains diet,Alcohol use,Low fruits diet,Unsafe water source,Secondhand smoke,Low birth weight,Child wasting,Unsafe sex,Diet low in nuts and seeds,Diet low in vegetables,Smoking,High fasting plasma glucose,High body-mass index,Unsafe sanitation,Drug use,Low bone mineral density,Vitamin a deficiency,Child stunting,Non-exclusive breastfeeding,Iron deficiency,Low physical activity,No access to handwashing facility,High ldl cholesterol,Air Pollution
South Korea,KOR,2019.0,37142.496,12251.835,5984.6206,26891.688,4409.951,137.72128,4045.0486,418.82654,134.8051,1420.6874,1485.1969,1198.776,51574.586,39832.05,19332.93,24.792582,2211.5432,3658.2847,0.012915803,0.8205231,3.4193916,5.1914206,5400.8477,322.60248,15522.161,44967.279152
South Sudan,SSD,2019.0,4697.111,751.0675,494.41296,574.79877,390.63458,5997.0615,522.6718,7895.204,8534.802,4456.0347,49.596546,447.88293,1918.5267,2689.4434,2434.0798,4553.791,102.93865,175.40994,137.69609,1137.0664,998.7669,151.43735,82.85122,4049.811,934.48505,18155.7254
Spain,ESP,2019.0,72106.086,2912.5159,12752.726,19330.375,2332.2063,52.05647,5658.1514,358.9052,311.9666,1763.0985,1756.0183,2141.8567,66330.67,54535.25,42038.324,12.668196,1723.7684,2788.5122,0.009624032,0.44631118,4.738675,1.3247081,9783.49,166.24854,27347.867,20842.97295
Sri Lanka,LKA,2019.0,29937.752,6051.3027,4224.13,7296.1514,3857.0264,748.39545,3027.3582,861.82697,261.53024,547.4558,120.592674,2353.0303,11071.176,31714.387,15935.904,376.4486,203.87805,1302.3044,1.0300934,12.561661,6.512423,13.818933,1783.5099,317.2095,12839.418,28018.1201
Sudan,SDN,2019.0,50500.516,1730.1127,11581.494,494.0532,3393.887,5480.028,4567.514,18958.775,7161.4917,3618.885,4042.064,3107.0647,16147.105,26177.213,24442.295,4180.6284,2166.8171,922.01715,155.8738,992.35004,1113.3739,451.301,8855.885,3002.5742,20202.637,56106.960999999996
Suriname,SUR,2019.0,828.837,73.639084,126.15416,214.38252,74.21513,29.38322,94.948135,112.78385,26.757921,131.99756,5.7518015,74.58967,451.09125,845.11426,657.353,9.600914,13.808358,23.003002,0.055374846,0.9654463,5.180492,1.9305081,109.63827,20.83355,339.27405,614.83528
Sweden,SWE,2019.0,19501.154,1495.1732,4105.1353,4340.116,1224.9938,18.945608,738.7833,80.579544,110.21931,298.9993,702.0986,1155.4641,13692.331,11974.791,8794.775,11.079489,733.87866,1232.6888,0.0034322976,0.12272874,0.77303356,0.2843354,1988.4,40.192104,9414.216,1409.4024617999999
Switzerland,CHE,2019.0,12570.672,977.60065,2679.6025,3937.6135,795.39386,5.0148916,677.08295,117.11752,78.35873,232.93709,313.47394,714.8475,10215.814,7840.903,6128.8633,2.2111704,617.7308,1268.4695,0.0027279977,0.10638614,1.4182621,0.36699688,1808.5736,22.907368,6418.8384,2982.6400359
Syria,SYR,2019.0,25568.49,946.3282,8303.105,567.33124,1487.3068,64.73314,3013.365,839.5607,286.50763,121.47354,307.59753,1858.4894,13239.907,17993.656,16053.711,20.369629,296.70966,306.72574,0.53228116,50.40493,14.718726,7.3310304,4240.519,119.861916,16712.322,21162.705909999997
Taiwan,TWN,2019.0,25695.004,5005.3223,5035.0894,11192.331,1416.9274,35.452667,5029.659,252.32101,134.70981,1145.2338,184.76907,667.9155,26645.164,26121.584,14956.65,8.800674,2257.981,1421.1055,0.005679703,1.3509243,2.855274,2.4699507,3113.7112,240.97784,9262.364,24602.17918
Tajikistan,TJK,2019.0,13063.963,1649.1079,3512.4985,1731.675,1568.3951,549.823,1364.1212,2020.494,1760.7354,180.87422,1604.8043,230.45685,4634.4966,8016.389,4664.909,464.89398,436.01938,85.476326,12.357359,281.22818,308.15665,9.929037,484.421,321.89288,5675.2344,14819.819800000001
Tanzania,TZA,2019.0,38943.77,8061.2085,2932.937,19290.479,2948.9102,13203.435,3615.7847,32244.09,18613.744,26736.588,76.55625,3143.76,17913.928,18757.402,17604.527,9496.255,2019.1107,1261.0011,305.0107,3437.0635,1412.1744,1233.4784,640.85785,12544.923,8651.311,90902.70550000001
Thailand,THA,2019.0,69031.96,14894.177,8064.024,39223.39,4329.058,5010.0737,9434.584,1369.4109,1248.4066,17610.514,145.66821,6466.8545,62859.004,65179.25,43872.58,260.1668,10673.598,3784.3542,2.2178538,41.690826,70.39031,31.453331,5213.3027,3043.0862,29280.18,80538.22200000001
Togo,TGO,2019.0,5729.049,502.63358,698.74457,1567.8738,896.30426,5038.201,512.33374,4209.416,3907.07,3524.8286,18.8622,629.6813,2292.0486,2393.9946,2618.499,3544.7734,145.52899,186.42216,144.8339,488.42377,631.4493,122.98328,223.23796,2823.32,1653.0009,13391.0765
Tokelau,TKL,2019.0,2.5594957,0.43437007,0.5177773,0.17012788,0.30829358,0.07960739,0.5304401,0.06554637,0.074311905,0.20537557,0.0220234,0.2933332,1.4512718,2.9642625,2.1951187,0.023471504,0.06684487,0.050526477,0.0015566335,0.0047244825,0.002779679,0.0041798665,0.3311185,0.0196185,1.0999603,0.4357048777
Tonga,TON,2019.0,116.44525,19.50198,23.86106,8.515135,15.870694,2.0504563,26.472195,9.317481,5.6874585,9.033448,1.6576568,12.523647,99.81634,158.9005,116.19409,0.7121147,7.773047,2.581241,0.085231334,0.28454727,0.23999552,0.33335567,17.383871,1.277757,51.176105,102.671859
Trinidad and Tobago,TTO,2019.0,2697.047,208.86072,586.48175,399.35547,323.043,16.822475,285.41824,113.21391,32.384907,269.76135,18.6454,220.34218,1027.5529,3447.9976,2611.4556,4.451889,30.095444,41.956562,0.009753497,0.32532686,2.5917754,1.1431909,580.4524,21.179615,1098.9286,1783.7560943
Tunisia,TUN,2019.0,19679.861,692.3336,5281.1206,722.77856,794.7982,75.800095,2404.9507,738.2563,79.24304,267.94754,427.6839,338.72476,10858.8125,14655.555,12000.177,26.590963,392.54727,473.41995,0.2881493,7.311575,14.623677,7.029162,1604.5874,115.39174,10679.75,14887.384381
Turkey,TUR,2019.0,109162.45,2670.2722,28866.441,3941.1692,1359.2775,469.11517,14606.444,5768.7256,1104.9022,1375.164,1087.0349,320.14767,86170.26,72369.3,80117.91,108.27514,1309.0092,3178.0232,3.338905,47.958054,76.61917,40.10332,16158.458,923.54846,44344.414,85926.38726
Turkmenistan,TKM,2019.0,11339.458,1354.5045,3031.9795,2348.9514,748.0836,46.762985,1476.3649,766.2619,555.5458,213.26003,1695.0806,57.619297,4043.5923,4700.703,6872.2427,35.59598,545.4622,37.447403,0.21418676,56.350384,72.74725,9.144141,589.6627,64.242355,5501.1943,7190.088667
Tuvalu,TUV,2019.0,24.86194,4.137525,5.279183,1.4411156,3.5219302,0.881893,4.913435,0.8910128,0.6718589,1.7300098,0.42656776,3.212314,16.69395,28.019321,19.493431,0.3587309,0.74441963,0.4513687,0.011593743,0.046231292,0.036370534,0.034863453,2.536318,0.24521077,11.158444,7.5832812999999994
Uganda,UGA,2019.0,18453.322,2931.5762,1877.2825,15356.166,522.8968,9198.543,1224.4451,24873.014,11048.907,20001.064,68.14903,1970.1798,6273.405,12290.363,8393.133,6882.442,140.6444,863.9956,382.83923,1903.3862,831.0908,402.74448,327.71204,7144.5366,3090.0312,55264.199
Ukraine,UKR,2019.0,237925.98,13637.466,66764.945,44743.98,25488.045,44.42857,16077.706,834.9412,168.29301,5479.66,29883.234,5983.0415,113388.86,70343.83,116655.07,31.182922,9360.747,1602.449,0.027057387,19.18997,21.939116,8.897004,12349.126,271.93765,164333.38,91772.25349999999
United Arab Emirates,ARE,2019.0,5982.615,292.741,1469.5647,552.8302,323.20053,26.035597,936.59467,65.37293,7.240052,150.26808,25.84473,293.17465,3725.7039,4276.08,7622.565,0.85388875,1007.8003,367.04947,0.0040115905,0.5155423,0.6879605,1.7555081,1119.8284,26.580946,3909.6235,6612.69600784
United Kingdom,GBR,2019.0,87761.79,6668.3306,20848.984,25242.264,10066.505,39.990864,8276.85,1339.4551,161.91476,1956.0353,11139.845,5935.866,119776.84,75453.57,56215.816,7.824474,5014.424,4962.3413,0.020535814,1.9382862,11.398799,3.7074313,14335.149,443.63107,48027.836,29487.148199000003
United States,USA,2019.0,495201.2,48500.992,102246.77,136663.11,40171.805,381.7031,35583.277,9606.032,5898.4116,14354.091,11028.839,27976.824,527736.2,439378.7,393859.12,681.79865,104736.19,27680.572,0.0732612,14.1594,75.149734,113.924774,37146.617,987.35535,226342.6,108166.17754
United States Virgin Islands,VIR,2019.0,305.91815,25.685873,62.313538,57.384956,9.250759,0.8494329,19.061176,3.8046784,3.854613,13.98112,1.366849,20.135212,109.27666,267.18448,251.9452,0.10456703,3.94147,6.635037,7.952566e-05,0.010129356,0.039911073,0.043112945,28.648922,1.7265234,127.68914,64.190525
Uruguay,URY,2019.0,5526.6094,750.5145,1183.3147,1689.2307,396.341,56.521458,789.32635,121.80591,118.61102,362.40802,401.0574,406.86462,4864.129,3282.9043,3222.2246,6.537409,243.38416,245.8577,0.07283407,1.7241151,3.2290633,1.1984671,427.6066,42.38651,2381.7493,1605.749566
Uzbekistan,UZB,2019.0,62464.848,7416.3867,20154.53,9561.602,5139.051,86.28626,6077.6294,4292.521,3461.881,1352.8777,9943.335,228.30835,22192.678,41043.12,39316.773,89.03829,3042.336,451.9843,0.6466809,420.84958,736.6008,41.570095,2809.8757,500.03415,37740.875,60009.0214
Vanuatu,VUT,2019.0,596.2815,86.35616,103.00508,45.69987,53.32458,55.862766,63.53861,56.52128,36.14061,28.948774,8.74141,66.05375,247.05081,432.05084,333.24942,40.06808,16.72091,7.498769,1.1882777,4.82786,3.8945162,1.6325684,23.670769,21.858908,243.9441,831.582865
Venezuela,VEN,2019.0,43138.816,6542.966,5686.072,8621.342,2589.7747,772.6011,3752.9536,2863.146,1071.994,4133.111,4257.043,3171.1968,16768.727,35108.312,26818.896,292.03976,499.06927,1146.9224,3.4260073,66.45424,168.48236,63.156986,1220.9897,446.55884,15271.742,25088.41296
Vietnam,VNM,2019.0,158375.45,32154.8,11914.71,52984.324,15136.054,1250.5938,19085.412,5286.4136,1536.9879,7520.978,768.8064,6122.68,97073.51,106477.734,37980.53,604.9323,9605.107,8389.809,6.680296,238.60045,246.17717,29.637976,5556.346,2053.345,40602.906,142404.363
World,OWID_WRL,2019.0,10845595.0,1885355.9,1844836.1,2441973.5,1046014.9,1230153.9,1304318.4,1703121.2,993046.25,984365.8,575139.25,529381.3,7693368.0,6501397.5,5019359.5,756584.94,494491.7,437884.4,23849.85,164237.11,139731.9,42349.24,831502.0,627918.9,4396983.5,13126701.7
Yemen,YEM,2019.0,30563.783,1240.8428,9047.844,861.43787,3609.4966,5351.4326,4466.699,17173.477,7456.0293,552.4253,3693.5017,3621.7375,17305.889,14466.527,11780.348,3394.0103,563.1218,922.90454,202.78354,1315.5195,1984.82,497.77017,3669.9531,2198.282,16920.54,42175.229
Zambia,ZMB,2019.0,10340.324,1827.7627,872.7598,6869.73,2055.7432,5915.0215,919.0534,8285.652,6363.7505,19581.69,70.92587,1201.2682,4673.4204,6353.253,6073.7896,4132.76,394.0686,397.83432,112.70777,1088.5691,738.9641,177.37119,328.96756,3975.22,2112.266,23597.0385
Zimbabwe,ZWE,2019.0,12240.987,1140.3761,1475.0681,5155.789,1959.8661,3914.0618,1645.976,7946.4224,5801.0903,19024.822,256.26953,1381.6342,8838.247,9797.032,6475.4326,2531.2986,962.71295,437.8879,81.38264,585.3932,630.7527,259.0002,344.59024,4113.1187,3571.3533,25292.6901
