Entity,Code,Year,High Systolic Blood Pressure,High sodium diet,Low whole grains diet,Alcohol use,Low fruits diet,Unsafe water source,Secondhand smoke,Low birth weight,Child wasting,Unsafe sex,Diet low in nuts and seeds,Diet low in vegetables,Smoking,High fasting plasma glucose,High body-mass index,Unsafe sanitation,Drug use,Low bone mineral density,Vitamin a deficiency,Child stunting,Non-exclusive breastfeeding,Iron deficiency,Low physical activity,No access to handwashing facility,High ldl cholesterol,Air Pollution
Cape Verde,CPV,2019.0,709.46515,64.16945,89.23843,203.87434,80.945694,36.31183,42.559097,78.41398,23.67951,81.20703,9.557369,37.22774,156.8471,487.2196,341.74313,21.268177,4.6581616,22.663118,0.093498155,1.2231507,2.6832957,0.9910631,40.331017,68.754875,217.26353,836.90617
Central African Republic,CAF,2019.0,4899.443,354.83655,553.641,2358.042,591.31964,7366.476,392.4017,5295.7437,7185.8027,5529.807,13.1135235,570.2161,1974.5631,3311.8096,1325.1946,5520.32,176.8211,212.85771,426.6238,1236.0701,1332.7708,184.92017,177.54584,3865.8757,1094.984,15810.3288
Chad,TCD,2019.0,8251.933,806.5861,1614.5153,3381.1714,1363.0568,26456.74,1301.073,15822.584,32948.855,4648.42,165.39587,1018.1388,2972.5576,5081.5776,2714.1628,19987.719,175.23537,348.48645,1830.538,5661.792,6281.3076,758.18036,266.3836,14141.03,2065.6853,43389.123
Chile,CHL,2019.0,21801.396,2891.326,3142.5537,8556.287,1388.5256,110.956764,2324.8608,496.8412,575.25635,1400.4055,984.022,638.86456,11179.0205,14932.557,14095.355,59.54613,1781.1641,958.2394,0.06338754,2.0874405,6.0685644,5.0193663,1244.2479,110.746864,6462.1753,12382.966120000001
China,CHN,2019.0,2599879.0,855385.0,383477.9,514658.53,231119.73,3270.1086,416054.06,34444.246,20497.404,74859.4,86309.25,15705.735,2418664.5,1067554.2,764698.06,1900.4158,85238.19,89857.086,20.777645,1047.5344,1636.8561,201.78636,149530.73,7574.705,915983.06,3634935.54
Colombia,COL,2019.0,40499.46,10421.267,7112.2925,7563.0024,2201.5627,527.52075,3555.9714,3432.5107,1824.4269,4716.422,2833.5393,3434.5828,17295.855,34180.145,25729.988,118.52918,506.72333,1365.1935,1.1676202,70.36265,143.97267,53.073704,2648.0532,572.64685,19655.977,31197.716800000002
Comoros,COM,2019.0,737.1821,124.06253,89.62714,67.845856,51.504803,225.95143,73.67009,353.52838,198.56096,65.98301,16.3881,81.47951,249.94576,385.58762,308.73602,172.2289,7.9852705,32.866894,5.321054,30.3773,30.286953,4.756751,10.498436,179.76663,203.25365,1291.77779
Congo,COG,2019.0,5090.694,369.31683,562.43585,1823.1157,490.43445,1561.2686,296.79318,1822.6803,1014.95953,4074.493,19.777193,503.26212,1432.9102,3077.1748,3043.534,1117.1475,142.10822,175.16948,64.76165,106.66435,208.99924,87.09268,281.66,1000.61536,1251.7068,6911.0386
Cook Islands,COK,2019.0,41.50273,7.0320396,6.028022,7.4161854,2.7286909,0.3852834,7.6986465,0.11494513,0.13490558,1.9512347,0.11830423,2.5894227,21.338852,47.340286,44.929066,0.04919063,1.0284475,0.80348176,0.0006882041,0.00639422,0.005623087,0.0013407615,5.621836,0.22213548,12.084769,7.6249646
Costa Rica,CRI,2019.0,4858.137,726.78485,795.5123,1113.4738,160.78354,55.109325,321.67938,198.40033,37.19789,338.58212,221.81215,345.60406,2117.9595,3224.6553,2804.0151,4.5136285,106.210434,280.6772,0.042008225,1.4492927,4.2878246,2.4243305,154.97304,59.80677,1840.7974,2109.16318
